freq,mag,phase
1.24000e+002,1.01764e+000,-5.57699e+001
1.25000e+002,1.06519e+000,-5.55556e+001
1.26000e+002,1.11212e+000,-5.53424e+001
1.27000e+002,1.15844e+000,-5.51304e+001
1.28000e+002,1.20416e+000,-5.49194e+001
1.29000e+002,1.24930e+000,-5.47095e+001
1.30000e+002,1.29385e+000,-5.45007e+001
1.31000e+002,1.33783e+000,-5.42930e+001
1.32000e+002,1.38125e+000,-5.40863e+001
1.33000e+002,1.42412e+000,-5.38807e+001
1.34000e+002,1.46644e+000,-5.36762e+001
1.35000e+002,1.50823e+000,-5.34728e+001
1.36000e+002,1.54950e+000,-5.32705e+001
1.37000e+002,1.59024e+000,-5.30692e+001
1.38000e+002,1.63048e+000,-5.28689e+001
1.39000e+002,1.67022e+000,-5.26697e+001
1.40000e+002,1.70946e+000,-5.24716e+001
1.41000e+002,1.74822e+000,-5.22745e+001
1.42000e+002,1.78650e+000,-5.20785e+001
1.43000e+002,1.82431e+000,-5.18835e+001
1.44000e+002,1.86166e+000,-5.16895e+001
1.45000e+002,1.89855e+000,-5.14966e+001
1.46000e+002,1.93499e+000,-5.13047e+001
1.47000e+002,1.97099e+000,-5.11139e+001
1.48000e+002,2.00656e+000,-5.09240e+001
1.49000e+002,2.04169e+000,-5.07352e+001
1.50000e+002,2.07640e+000,-5.05474e+001
1.51000e+002,2.11070e+000,-5.03606e+001
1.52000e+002,2.14459e+000,-5.01748e+001
1.53000e+002,2.17807e+000,-4.99900e+001
1.54000e+002,2.21116e+000,-4.98062e+001
1.55000e+002,2.24385e+000,-4.96234e+001
1.56000e+002,2.27616e+000,-4.94416e+001
1.57000e+002,2.30809e+000,-4.92607e+001
1.58000e+002,2.33964e+000,-4.90809e+001
1.59000e+002,2.37083e+000,-4.89020e+001
1.60000e+002,2.40165e+000,-4.87241e+001
1.61000e+002,2.43211e+000,-4.85472e+001
1.62000e+002,2.46222e+000,-4.83712e+001
1.63000e+002,2.49198e+000,-4.81962e+001
1.64000e+002,2.52140e+000,-4.80221e+001
1.65000e+002,2.55048e+000,-4.78490e+001
1.66000e+002,2.57923e+000,-4.76768e+001
1.67000e+002,2.60765e+000,-4.75056e+001
1.68000e+002,2.63575e+000,-4.73353e+001
1.69000e+002,2.66352e+000,-4.71659e+001
1.70000e+002,2.69098e+000,-4.69975e+001
1.71000e+002,2.71814e+000,-4.68300e+001
1.72000e+002,2.74498e+000,-4.66634e+001
1.73000e+002,2.77153e+000,-4.64977e+001
1.74000e+002,2.79777e+000,-4.63329e+001
1.75000e+002,2.82373e+000,-4.61690e+001
1.76000e+002,2.84939e+000,-4.60060e+001
1.77000e+002,2.87477e+000,-4.58439e+001
1.78000e+002,2.89987e+000,-4.56827e+001
1.79000e+002,2.92469e+000,-4.55224e+001
1.80000e+002,2.94924e+000,-4.53630e+001
1.81000e+002,2.97351e+000,-4.52044e+001
1.82000e+002,2.99753e+000,-4.50467e+001
1.83000e+002,3.02128e+000,-4.48899e+001
1.84000e+002,3.04477e+000,-4.47339e+001
1.85000e+002,3.06800e+000,-4.45788e+001
1.86000e+002,3.09099e+000,-4.44245e+001
1.87000e+002,3.11372e+000,-4.42711e+001
1.88000e+002,3.13621e+000,-4.41185e+001
